Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_0,c_1,-,-,-,0.6696,0.988851016
model_1,c_2,-,-,-,0.6691,0.973760459
model_2,c_3,-,-,-,0.6957,0.948072911
model_3,c_4,-,-,-,0.6844,0.938849857
model_4,c_5,-,-,-,0.69,0.923011323
model_5,c_6,-,-,-,0.7031,0.885877584
model_6,c_7,-,-,-,0.6819,0.946936677
model_7,c_8,-,-,-,0.6637,1.018871601
model_8,c_9,-,-,-,0.7048,0.898587355
model_9,c_10,-,-,-,0.6645,1.001281336
model_10,c_11,-,-,-,0.6979,0.898367395
model_11,c_12,-,-,-,0.657,1.018228985
model_12,m_1,-,-,-,0.637,1.051337848
model_13,m_2,-,-,-,0.6901,0.938415771
model_14,m_3,-,-,-,0.668,0.957211381
model_15,s,-,-,-,0.6226,1.108230445
model_16,c_9,c_1,-,-,0.7029,0.884851929
model_17,c_9,c_2,-,-,0.7014,0.883278113
model_18,c_9,c_3,-,-,0.7148,0.845994073
model_19,c_9,c_4,-,-,0.6889,0.913560072
model_20,c_9,c_5,-,-,0.7039,0.883497176
model_21,c_9,c_6,-,-,0.7349,0.792587123
model_22,c_9,c_7,-,-,0.7115,0.855353279
model_23,c_9,c_8,-,-,0.7039,0.879359175
model_24,c_9,c_9,-,-,0.7284,0.81427652
model_25,c_9,c_10,-,-,0.7173,0.847697874
model_26,c_9,c_11,-,-,0.6903,0.901086121
model_27,c_9,c_12,-,-,0.7103,0.842200515
model_28,c_9,m_1,-,-,0.701,0.870982643
model_29,c_9,m_2,-,-,0.7192,0.831965275
model_30,c_9,m_3,-,-,0.7177,0.841868153
model_31,c_9,s,-,-,0.716,0.868782057
model_32,c_9,c_6,c_1,-,0.7223,0.825731349
model_33,c_9,c_6,c_2,-,0.7491,0.755299367
model_34,c_9,c_6,c_3,-,0.7364,0.782878961
model_35,c_9,c_6,c_4,-,0.7074,0.861636843
model_36,c_9,c_6,c_5,-,0.7287,0.798606131
model_37,c_9,c_6,c_6,-,0.6955,0.923023727
model_38,c_9,c_6,c_7,-,0.7412,0.774907456
model_39,c_9,c_6,c_8,-,0.7061,0.918087458
model_40,c_9,c_6,c_9,-,0.7254,0.817621081
model_41,c_9,c_6,c_10,-,0.731,0.799498146
model_42,c_9,c_6,c_11,-,0.7309,0.823069409
model_43,c_9,c_6,c_12,-,0.7318,0.818134385
model_44,c_9,c_6,m_1,-,0.7175,0.849056909
model_45,c_9,c_6,m_2,-,0.74,0.767333451
model_46,c_9,c_6,m_3,-,0.7285,0.789953754
model_47,c_9,c_6,s,-,0.7079,0.859993546
model_48,c_10,c_6,c_6,c_1,0.459634399,Unknown
model_49,c_10,c_6,c_6,c_2,0.191476482,Unknown
model_50,c_10,c_6,c_6,c_3,0.277160026,Unknown
model_51,c_10,c_6,c_6,c_4,0.745869325,Unknown
model_52,c_10,c_6,c_6,c_5,0.451845223,Unknown
model_53,c_10,c_6,c_6,c_6,0.971890931,Unknown
model_54,c_10,c_6,c_6,c_7,0.427173386,Unknown
model_55,c_10,c_6,c_6,c_8,0.757414363,Unknown
model_56,c_10,c_6,c_6,c_9,0.984397267,Unknown
model_57,c_10,c_6,c_6,c_10,0.559721552,Unknown
model_58,c_10,c_6,c_6,c_11,0.012101938,Unknown
model_59,c_10,c_6,c_6,c_12,0.091352578,Unknown
model_60,c_10,c_6,c_6,m_1,0.942198329,Unknown
model_61,c_10,c_6,c_6,m_2,0.040949665,Unknown
model_62,c_10,c_6,c_6,m_3,0.387515703,Unknown
model_63,c_10,c_6,c_6,s,0.03727903,Unknown
